Rank,Actor,Earnings,year,img,rank
4,Akshay Kumar,65,2019,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Akshay_Kumar.jpg/440px-Akshay_Kumar.jpg,4
5,Jackie Chan,58,2019,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Jackie_Chan_July_2016.jpg/440px-Jackie_Chan_July_2016.jpg,5
6,Bradley Cooper,57,2019,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Glasto17-44_%2835547413626%29_Cropped.jpg/440px-Glasto17-44_%2835547413626%29_Cropped.jpg,6
6,Adam Sandler,57,2019,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Adam_Sandler_Cannes_2017.jpg/440px-Adam_Sandler_Cannes_2017.jpg,7
8,Scarlett Johansson,56,2019,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Scarlett_Johansson_by_Gage_Skidmore_2_%28cropped%2C_2%29.jpg/440px-Scarlett_Johansson_by_Gage_Skidmore_2_%28cropped%2C_2%29.jpg,8
9,Sofía Vergara,44.1,2019,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Sof%C3%ADa_Vergara_2019_by_Glenn_Francis.jpg/440px-Sof%C3%ADa_Vergara_2019_by_Glenn_Francis.jpg,9
10,Chris Evans,43.5,2019,https://upload.wikimedia.org/wikipedia/commons/3/33/Mark_Kassen%2C_Tony_Cárdenas_and_Chris_Evans_%28cropped%29.jpg,10
1,Dwayne Johnson,87.5,2020,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Dwayne_Johnson_2014_%28cropped%29.jpg/440px-Dwayne_Johnson_2014_%28cropped%29.jpg,1
2,Ryan Reynolds,71.5,2020,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Deadpool_2_Japan_Premiere_Red_Carpet_Ryan_Reynolds_%28cropped%29.jpg/440px-Deadpool_2_Japan_Premiere_Red_Carpet_Ryan_Reynolds_%28cropped%29.jpg,2
3,Mark Wahlberg,58,2020,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Mark_Wahlberg_2021.jpg/440px-Mark_Wahlberg_2021.jpg,3
4,Ben Affleck,55,2020,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Ben_Affleck_by_Gage_Skidmore_3.jpg/440px-Ben_Affleck_by_Gage_Skidmore_3.jpg,4
5,Vin Diesel,54,2020,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Vin_Diesel_%289347077569%29.jpg/440px-Vin_Diesel_%289347077569%29.jpg,5
6,Akshay Kumar,48.5,2020,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Akshay_Kumar.jpg/440px-Akshay_Kumar.jpg,6
7,Lin-Manuel Miranda,45.5,2020,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Lin-Manuel_Miranda_during_an_interview%2C_March_2022_%283%29_%28croppped%29.jpg/440px-Lin-Manuel_Miranda_during_an_interview%2C_March_2022_%283%29_%28croppped%29.jpg,7
8,Will Smith,44.5,2020,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/TechCrunch_Disrupt_2019_%2848834434641%29_%28cropped%29.jpg/440px-TechCrunch_Disrupt_2019_%2848834434641%29_%28cropped%29.jpg,8
9,Sofía Vergara,43,2020,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Sof%C3%ADa_Vergara_2019_by_Glenn_Francis.jpg/440px-Sof%C3%ADa_Vergara_2019_by_Glenn_Francis.jpg,9
10,Adam Sandler,41,2020,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Adam_Sandler_Cannes_2017.jpg/440px-Adam_Sandler_Cannes_2017.jpg,10
